No;Nama Variabel;Ket;Ket;Publikasi
1;Rumah Tidak Layak Huni;Y;Y;Y
2;Ketahanan Bangunan;Y;Y;Y
3;Sanitasi Layak;Y;Y;Y
4;Air Minum Layak;Y;Y;Y
5;Air Minum Aman;Y;Y;Y
6;Penduduk dengan Penyakit Menahun;Y;Y;Y
7;Penduduk Lansia;Y;;Y
8;Penduduk dengan Disabilitas;Y;;Y
9;Sumber Penerangan;Y;;Y
10;Sumber Air Mandi Cuci;Y;Y;Y
11;Sumber Air Minum;Y;Y;Y
12;Kepemilikan BAB;Y;Y;Y
13;Jumlah Bumbung Rumah;Y;Y;Y
14;Jumlah Penduduk;Y;Y;Y
15;Jumlah Keluarga;Y;Y;Y
16;Rata-Rata Keluarga yang Tinggal dalam 1 Bangunan;Y;;Y
17;Status Penguasaan Bangunan;Y;;Y
18;Bukti Penguasaan Bangunan;Y;Y;Y
19;Luas Lantai Per Kapita Kurang;Y;Y;Y
20;Jenis Atap Terluas;Y;Y;Y
21;Jenis Dinding Terluas;Y;Y;Y
22;Jenis Lantai Terluas;Y;Y;Y
23;Rumah Tangga yang Memiliki Akses Terhadap Air Minum Tidak Terbatas;Y;Y;Y
24;Rumah Tangga dengan Akses Terhadap Air Minum Bukan Air Permukaan;Y;Y;Y
25;Rata-Rata Jumlah Penghuni Rumah;Y;Y;Y
